,count,predicted_smiling_rate,avg_confidence,avg_confidence_std
black_female,6894.0,0.1930664345807949,0.23917616405278716,0.2915852670398633
black_male,6895.0,0.1028281363306744,0.16193695389664134,0.22664791234500486
east_asian_female,6914.0,0.18542088516054384,0.22835961092793317,0.28471985406674094
east_asian_male,6923.0,0.09446771630795897,0.14900853408905057,0.2216129504881897
indian_female,6672.0,0.16636690647482014,0.20832945821519003,0.2750380074424271
indian_male,7163.0,0.10177300013960631,0.15863369911033048,0.2212698108581895
latino_hispanic_female,7545.0,0.2337972166998012,0.26474288167100785,0.3120830985446421
latino_hispanic_male,7445.0,0.1229012760241773,0.17304276208245153,0.2460784639526642
middle_eastern_female,3243.0,0.17329633055812518,0.21549736151936363,0.2818771357259981
middle_eastern_male,7182.0,0.08925090504037872,0.14779116879047544,0.21118717051841007
southeast_asian_female,5863.0,0.17721303087156745,0.21615888963613308,0.27832282934191577
southeast_asian_male,6347.0,0.10115014967701276,0.15096619532038932,0.22390814166393788
white_female,8789.0,0.26282853566958697,0.28937807320418474,0.32447248537846585
white_male,9823.0,0.15239743459228342,0.1964748618824571,0.268644842335082
